# sent_id = 1003
# file = 00001
# text = 자기계발을 원하는 사람에게 가장 적합한 학교
1	자기계발을	자기+계발을	자기+계발+을	PRON	NP+NNG_JKO	NP+NNG+JKO

# sent_id = 1143
# file = 00001
# text = 현장의 소리를 듣고 모아서 야무지게 개선하고 국정에 반영하는 국회의원이 되겠다 .
1	현장의	현장+의	현장+의	NOUN	NNG+JKG	NNG+JKG
2	소리를	소리+를	소리+를	NOUN	NNG+JKO	NNG+JKO
3	듣고	듣+고	듣+고	VERB	VV+EC	VV+EC
4	모아서	모아+서	모으+아서	VERB	VV+EC	VV+EC
5	야무지게	야무지+게	야무지+게	ADJ	VA+EC	VA+EC
6	개선하고	개선하+고	개선하+고	VERB	VV+EC	VV+EC
7	국정에	국정+에	국정+에	NOUN	NNG+JKB	NNG+JKB
8	반영하는	반영하+는	반영하+는	VERB	VV+ETM	VV+ETM
9	국회의원이	국회의원+이	국회의원+이	NOUN	NNG+JKC	NNG+JKC
10	되겠다	되+겠다	되+겠+다	VERB	VV+EP_EF	VV+EP+EF
11	.	.	.	PUNC	SF	SF

# sent_id = 1145
# file = 00001
# text = 지난해 3월 출시 이후 누계로 2200만 개가 판매됐다 .
1	지난해	지난해	지난해	NOUN	NNG	NNG
2	3월	3+월	3+월	NUM	SN+NNB	SN+NNB
3	출시	출시	출시	NOUN	NNG	NNG
4	이후	이후	이후	NOUN	NNG	NNG
5	누계로	누계+로	누계+로	NOUN	NNG+JKB	NNG+JKB
6	2200만	2200만	2200만	NUM	NR	NR
7	개가	개+가	개+가	NOUN	NNB+JKS	NNB+JKS
8	판매됐다	판매됐+다	판매되+었+다	VERB	VV+EP_EF	VV+EP+EF
9	.	.	.	PUNC	SF	SF

# sent_id = 1147
# file = 00001
# text = 레드라인은 내가 그은 것이 아니라 전 세계가 그은 것
1	레드라인은	레드라인+은	레드라인+은	NOUN	NNG+JX	NNG+JX
2	내가	내+가	내+가	PRON	NP+JKS	NP+JKS
3	그은	그+은	긋+은	VERB	VV+ETM	VV+ETM
4	것이	것+이	것+이	NOUN	NNB+JKC	NNB+JKC
5	아니라	아니+라	아니+라	ADJ	VCN+EC	VCN+EC
6	전	전	전	DET	MM	MM
7	세계가	세계+가	세계+가	NOUN	NNG+JKS	NNG+JKS
8	그은	그+은	긋+은	VERB	VV+ETM	VV+ETM
9	것	것	것	NOUN	NNB	NNB

# sent_id = 1148
# file = 00001
# text = 오늘 개각은 전면적인 국정쇄신을 요구했던 야당과 국민을 대놓고 우롱한 개각
1	오늘	오늘	오늘	NOUN	NNG	NNG
2	개각은	개각+은	개각+은	NOUN	NNG+JX	NNG+JX
3	전면적인	전면적+인	전면적+이+ㄴ	VERB	NNG+VCP_ETM	NNG+VCP+ETM
4	국정쇄신을	국정쇄신+을	국정쇄신+을	NOUN	NNG+JKO	NNG+JKO
5	요구했던	요구했+던	요구하+었+던	VERB	VV+EP_ETM	VV+EP+ETM
6	야당과	야당+과	야당+과	NOUN	NNG+JC	NNG+JC
7	국민을	국민+을	국민+을	NOUN	NNG+JKO	NNG+JKO
8	대놓고	대놓고	대놓고	ADV	MAG	MAG
9	우롱한	우롱한	우롱하+ㄴ	VERB	VV_ETM	VV+ETM
10	개각	개각	개각	NOUN	NNG	NNG

# sent_id = 1150
# file = 00001
# text = 비밀이란 비밀은 다 봤고 컴퓨터 내용을 점검했으며 USB 2개도 복사해 갔다 .
1	비밀이란	비밀+이란	비밀+이란	NOUN	NNG+JX	NNG+JX
2	비밀은	비밀+은	비밀+은	NOUN	NNG+JX	NNG+JX
3	다	다	다	ADV	MAG	MAG
4	봤고	봤+고	보+았+고	VERB	VV+EP_EC	VV+EP+EC
5	컴퓨터	컴퓨터	컴퓨터	NOUN	NNG	NNG
6	내용을	내용+을	내용+을	NOUN	NNG+JKO	NNG+JKO
7	점검했으며	점검했+으며	점검하+었+으며	VERB	VV+EP_EC	VV+EP+EC
8	USB	USB	USB	NOUN	SL	SL
9	2개도	2+개도	2+개+도	NUM	SN+NNB_JX	SN+NNB+JX
10	복사해	복사해	복사하+어	VERB	VV_EC	VV+EC
11	갔다	갔+다	가+았+다	AUX	VX+EP_EF	VX+EP+EF
12	.	.	.	PUNC	SF	SF

# sent_id = 1151
# file = 00001
# text = 보안 진단과 컨설팅에 이르는 보안분야에서 세부적인 시스템 설치와 인적 소요 및 적정 인력 배치까지 토털 컨설팅 제공이 가능하다 .
1	보안	보안	보안	NOUN	NNG	NNG
2	진단과	진단+과	진단+과	NOUN	NNG+JC	NNG+JC
3	컨설팅에	컨설팅+에	컨설팅+에	NOUN	NNG+JKB	NNG+JKB
4	이르는	이르+는	이르+는	VERB	VV+ETM	VV+ETM
5	보안분야에서	보안분야+에서	보안분야+에서	NOUN	NNG+JKB	NNG+JKB
6	세부적인	세부적+인	세부적+이+ㄴ	VERB	NNG+VCP_ETM	NNG+VCP+ETM
7	시스템	시스템	시스템	NOUN	NNG	NNG
8	설치와	설치+와	설치+와	NOUN	NNG+JC	NNG+JC
9	인적	인적	인적	DET	MM	MM
10	소요	소요	소요	NOUN	NNG	NNG
11	및	및	및	ADV	MAJ	MAJ
12	적정	적정	적정	NOUN	NNG	NNG
13	인력	인력	인력	NOUN	NNG	NNG
14	배치까지	배치+까지	배치+까지	NOUN	NNG+JX	NNG+JX
15	토털	토털	토털	NOUN	NNG	NNG
16	컨설팅	컨설팅	컨설팅	NOUN	NNG	NNG
17	제공이	제공+이	제공+이	NOUN	NNG+JKS	NNG+JKS
18	가능하다	가능하+다	가능하+다	ADJ	VA+EF	VA+EF
19	.	.	.	PUNC	SF	SF

# sent_id = 1155
# file = 00001
# text = 연습실 , 작업실 , 숙소를 제대로 마련해 주지 않았다거나 적절한 교육 및 지도를 하지 않았다고 볼 자료가 부족하다 .
1	연습실	연습실	연습실	NOUN	NNG	NNG
2	,	,	,	PUNC	SP	SP
3	작업실	작업실	작업실	NOUN	NNG	NNG
4	,	,	,	PUNC	SP	SP
5	숙소를	숙소+를	숙소+를	NOUN	NNG+JKO	NNG+JKO
6	제대로	제대로	제대로	ADV	MAG	MAG
7	마련해	마련해	마련하+어	VERB	VV_EC	VV+EC
8	주지	주+지	주+지	AUX	VX+EC	VX+EC
9	않았다거나	않+았다거나	않+았+다+거나	AUX	VX+EP_EC_JX	VX+EP+EC+JX
10	적절한	적절한	적절하+ㄴ	ADJ	VA_ETM	VA+ETM
11	교육	교육	교육	NOUN	NNG	NNG
12	및	및	및	ADV	MAJ	MAJ
13	지도를	지도+를	지도+를	NOUN	NNG+JKO	NNG+JKO
14	하지	하+지	하+지	VERB	VV+EC	VV+EC
15	않았다고	않+았다고	않+았+다고	AUX	VX+EP_EC	VX+EP+EC
16	볼	볼	보+ㄹ	VERB	VV_ETM	VV+ETM
17	자료가	자료+가	자료+가	NOUN	NNG+JKS	NNG+JKS
18	부족하다	부족하+다	부족하+다	ADJ	VA+EF	VA+EF
19	.	.	.	PUNC	SF	SF

# sent_id = 1156
# file = 00001
# text = 기록상 블락비의 연예활동을 적절하게 관리하지 않았다고 볼 자료가 부족하므로 관리의무 위반했다고 보기 어렵다 .
1	기록상	기록상	기록상	NOUN	NNG	NNG
2	블락비의	블락비+의	블락비+의	NOUN	NNG+JKG	NNG+JKG
3	연예활동을	연예활동+을	연예활동+을	NOUN	NNG+JKO	NNG+JKO
4	적절하게	적절하+게	적절하+게	ADJ	VA+EC	VA+EC
5	관리하지	관리하+지	관리하+지	VERB	VV+EC	VV+EC
6	않았다고	않+았다고	않+았+다고	AUX	VX+EP_EC	VX+EP+EC
7	볼	볼	보+ㄹ	VERB	VV_ETM	VV+ETM
8	자료가	자료+가	자료+가	NOUN	NNG+JKS	NNG+JKS
9	부족하므로	부족하+므로	부족하+므로	ADJ	VA+EC	VA+EC
10	관리의무	관리의무	관리의무	NOUN	NNG	NNG
11	위반했다고	위반했+다고	위반하+었+다고	VERB	VV+EP_EC	VV+EP+EC
12	보기	보+기	보+기	VERB	VV+ETN	VV+ETN
13	어렵다	어렵+다	어렵+다	ADJ	VA+EF	VA+EF
14	.	.	.	PUNC	SF	SF

# sent_id = 1158
# file = 00001
# text = 관리자 페이지를 업데이트 하는 과정에서 오류가 발생한 것 같다 .
1	관리자	관리자	관리자	NOUN	NNG	NNG
2	페이지를	페이지+를	페이지+를	NOUN	NNG+JKO	NNG+JKO
3	업데이트	업데이트	업데이트	NOUN	NNG	NNG
4	하는	하+는	하+는	VERB	VV+ETM	VV+ETM
5	과정에서	과정+에서	과정+에서	NOUN	NNG+JKB	NNG+JKB
6	오류가	오류+가	오류+가	NOUN	NNG+JKS	NNG+JKS
7	발생한	발생한	발생하+ㄴ	VERB	VV_ETM	VV+ETM
8	것	것	것	NOUN	NNB	NNB
9	같다	같+다	같+다	ADJ	VA+EF	VA+EF
10	.	.	.	PUNC	SF	SF

# sent_id = 1159
# file = 00001
# text = ' 이국종 예산 ' 이라는 말이 도는데 저는 피눈물이 난다 .
1	'	'	'	PUNC	SS	SS
2	이국종	이국종	이국종	NOUN	NNG	NNG
3	예산	예산	예산	NOUN	NNG	NNG
4	'	'	'	PUNC	SS	SS
5	이라는	이+라는	이+라는	VERB	VCP+ETM	VCP+ETM
6	말이	말+이	말+이	NOUN	NNG+JKS	NNG+JKS
7	도는데	도+는데	돌+는데	VERB	VV+EC	VV+EC
8	저는	저+는	저+는	PRON	NP+JX	NP+JX
9	피눈물이	피눈물+이	피눈물+이	NOUN	NNG+JKS	NNG+JKS
10	난다	난+다	나+ㄴ다	VERB	VV+EF	VV+EF
11	.	.	.	PUNC	SF	SF

# sent_id = 1160
# file = 00001
# text = 소득인정액이 최저생계비 150% 선 이하에 있는 분들이 일단 기초노령연금 수급자격자
1	소득인정액이	소득인정액+이	소득인정액+이	NOUN	NNG+JKS	NNG+JKS
2	최저생계비	최저생계비	최저생계비	NOUN	NNG	NNG
3	150%	150+%	150+%	NUM	SN+SW	SN+SW
4	선	선	서+ㄴ	VERB	VV_ETM	VV+ETM
5	이하에	이하+에	이하+에	NOUN	NNG+JKB	NNG+JKB
6	있는	있+는	있+는	ADJ	VA+ETM	VA+ETM
7	분들이	분+들이	분+들+이	NOUN	NNB+XSN_JKS	NNB+XSN+JKS
8	일단	일단	일단	ADV	MAG	MAG
9	기초노령연금	기초노령연금	기초노령연금	NOUN	NNG	NNG
10	수급자격자	수급자격자	수급자격자	NOUN	NNG	NNG

# sent_id = 1163
# file = 00001
# text = 아이폰X 판매 등 긍정적 요인이 이미 주가에 반영됐다 .
1	아이폰X	아이폰+X	아이폰+X	PROPN	NNP+SL	NNP+SL
2	판매	판매	판매	NOUN	NNG	NNG
3	등	등	등	NOUN	NNB	NNB
4	긍정적	긍정적	긍정적	DET	MM	MM
5	요인이	요인+이	요인+이	NOUN	NNG+JKS	NNG+JKS
6	이미	이미	이미	ADV	MAG	MAG
7	주가에	주가+에	주가+에	NOUN	NNG+JKB	NNG+JKB
8	반영됐다	반영됐+다	반영되+었+다	VERB	VV+EP_EF	VV+EP+EF
9	.	.	.	PUNC	SF	SF

# sent_id = 1164
# file = 00001
# text = 여러분의 힘과 지혜가 필요하다 .
1	여러분의	여러분+의	여러분+의	PRON	NP+JKG	NP+JKG
2	힘과	힘+과	힘+과	NOUN	NNG+JC	NNG+JC
3	지혜가	지혜+가	지혜+가	NOUN	NNG+JKS	NNG+JKS
4	필요하다	필요하+다	필요하+다	ADJ	VA+EF	VA+EF
5	.	.	.	PUNC	SF	SF

# sent_id = 1165
# file = 00001
# text = 지금은 갈등과 의구심을 걷고 역량을 결집시킬 때
1	지금은	지금+은	지금+은	NOUN	NNG+JX	NNG+JX
2	갈등과	갈등+과	갈등+과	NOUN	NNG+JC	NNG+JC
3	의구심을	의구심+을	의구심+을	NOUN	NNG+JKO	NNG+JKO
4	걷고	걷+고	걷+고	VERB	VV+EC	VV+EC
5	역량을	역량+을	역량+을	NOUN	NNG+JKO	NNG+JKO
6	결집시킬	결집시킬	결집시키+ㄹ	VERB	VV_ETM	VV+ETM
7	때	때	때	NOUN	NNG	NNG

# sent_id = 1166
# file = 00001
# text = 실험탐구는 잘해도 시험성적은 기대에 못 미치는 과학탐구 영역이 늘 골칫덩어리였다 .
1	실험탐구는	실험탐구+는	실험탐구+는	NOUN	NNG+JX	NNG+JX
2	잘해도	잘해+도	잘하+여도	VERB	VV+EC	VV+EC
3	시험성적은	시험성적+은	시험성적+은	NOUN	NNG+JX	NNG+JX
4	기대에	기대+에	기대+에	NOUN	NNG+JKB	NNG+JKB
5	못	못	못	ADV	MAG	MAG
6	미치는	미치+는	미치+는	VERB	VV+ETM	VV+ETM
7	과학탐구	과학탐구	과학탐구	NOUN	NNG	NNG
8	영역이	영역+이	영역+이	NOUN	NNG+JKS	NNG+JKS
9	늘	늘	늘	ADV	MAG	MAG
10	골칫덩어리였다	골칫덩어리+였다	골칫덩어리+이+었+다	VERB	NNG+VCP_EP_EF	NNG+VCP+EP+EF
11	.	.	.	PUNC	SF	SF

# sent_id = 1168
# file = 00001
# text = 폐탄약 처리 시설은 한국 환경 관련 법률에 따라 친환경적이고 한미 양국의 합의각서에 따라 엄격하게 운영될 것이다 .
1	폐탄약	폐탄약	폐탄약	NOUN	NNG	NNG
2	처리	처리	처리	NOUN	NNG	NNG
3	시설은	시설+은	시설+은	NOUN	NNG+JX	NNG+JX
4	한국	한국	한국	PROPN	NNP	NNP
5	환경	환경	환경	NOUN	NNG	NNG
6	관련	관련	관련	NOUN	NNG	NNG
7	법률에	법률+에	법률+에	NOUN	NNG+JKB	NNG+JKB
8	따라	따라	따르+아	VERB	VV_EC	VV+EC
9	친환경적이고	친환경적+이고	친환경적+이+고	VERB	NNG+VCP_EC	NNG+VCP+EC
10	한미	한미	한미	PROPN	NNP	NNP
11	양국의	양국+의	양국+의	NOUN	NNG+JKG	NNG+JKG
12	합의각서에	합의각서+에	합의각서+에	NOUN	NNG+JKB	NNG+JKB
13	따라	따라	따르+아	VERB	VV_EC	VV+EC
14	엄격하게	엄격하+게	엄격하+게	ADJ	VA+EC	VA+EC
15	운영될	운영될	운영되+ㄹ	VERB	VV_ETM	VV+ETM
16	것이다	것+이다	것+이+다	VERB	NNB+VCP_EF	NNB+VCP+EF
17	.	.	.	PUNC	SF	SF

# sent_id = 1169
# file = 00001
# text = 국유기업은 앞으로 중국경제 성장을 저해하는 가장 큰 장애 중 하나
1	국유기업은	국유기업+은	국유기업+은	NOUN	NNG+JX	NNG+JX
2	앞으로	앞+으로	앞+으로	NOUN	NNG+JKB	NNG+JKB
3	중국경제	중국경제	중국경제	PROPN	NNP	NNP
4	성장을	성장+을	성장+을	NOUN	NNG+JKO	NNG+JKO
5	저해하는	저해하+는	저해하+는	VERB	VV+ETM	VV+ETM
6	가장	가장	가장	ADV	MAG	MAG
7	큰	큰	크+ㄴ	ADJ	VA_ETM	VA+ETM
8	장애	장애	장애	NOUN	NNG	NNG
9	중	중	중	NOUN	NNB	NNB
10	하나	하나	하나	NOUN	NR	NR

# sent_id = 1170
# file = 00001
# text = 이들 기업 중 약 90%가 우리의 경쟁상대인 대만 , 인도 , 러시아 , 멕시코 기업들이었다는 것이 아쉬웠다 .
1	이들	이+들	이+들	PRON	NP+XSN	NP+XSN
2	기업	기업	기업	NOUN	NNG	NNG
3	중	중	중	NOUN	NNB	NNB
4	약	약	약	DET	MM	MM
5	90%가	90+%가	90+%+가	NUM	SN+SW_JKS	SN+SW+JKS
6	우리의	우리+의	우리+의	PRON	NP+JKG	NP+JKG
7	경쟁상대인	경쟁상대+인	경쟁상대+이+ㄴ	VERB	NNG+VCP_ETM	NNG+VCP+ETM
8	대만	대만	대만	PROPN	NNP	NNP
9	,	,	,	PUNC	SP	SP
10	인도	인도	인도	PROPN	NNP	NNP
11	,	,	,	PUNC	SP	SP
12	러시아	러시아	러시아	PROPN	NNP	NNP
13	,	,	,	PUNC	SP	SP
14	멕시코	멕시코	멕시코	PROPN	NNP	NNP
15	기업들이었다는	기업들+이었다는	기업들+이+었+다는	VERB	NNG+VCP_EP_ETM	NNG+VCP+EP+ETM
16	것이	것+이	것+이	NOUN	NNB+JKS	NNB+JKS
17	아쉬웠다	아쉬+웠다	아쉽+었+다	ADJ	VA+EP_EF	VA+EP+EF
18	.	.	.	PUNC	SF	SF

# sent_id = 1171
# file = 00001
# text = 크고 유명한 기업은 아니지만 전세계를 대상으로 자신들에게 가장 유리한 기회를 제공하는 시장을 찾아내 국제 투자자금을 유치한 것
1	크고	크+고	크+고	ADJ	VA+EC	VA+EC
2	유명한	유명한	유명하+ㄴ	ADJ	VA_ETM	VA+ETM
3	기업은	기업+은	기업+은	NOUN	NNG+JX	NNG+JX
4	아니지만	아니+지만	아니+지만	ADJ	VCN+EC	VCN+EC
5	전세계를	전+세계를	전+세계+를	NOUN	MM+NNG_JKO	MM+NNG+JKO
6	대상으로	대상+으로	대상+으로	NOUN	NNG+JKB	NNG+JKB
7	자신들에게	자신들+에게	자신들+에게	NOUN	NNG+JKB	NNG+JKB
8	가장	가장	가장	ADV	MAG	MAG
9	유리한	유리한	유리하+ㄴ	ADJ	VA_ETM	VA+ETM
10	기회를	기회+를	기회+를	NOUN	NNG+JKO	NNG+JKO
11	제공하는	제공하+는	제공하+는	VERB	VV+ETM	VV+ETM
12	시장을	시장+을	시장+을	NOUN	NNG+JKO	NNG+JKO
13	찾아내	찾아내	찾아내+어	VERB	VV_EC	VV+EC
14	국제	국제	국제	NOUN	NNG	NNG
15	투자자금을	투자자금+을	투자자금+을	NOUN	NNG+JKO	NNG+JKO
16	유치한	유치한	유치하+ㄴ	VERB	VV_ETM	VV+ETM
17	것	것	것	NOUN	NNB	NNB

# sent_id = 1172
# file = 00001
# text = 사회 각 분야에 활약하고 있는 인사들의 살아 있는 강연을 통해 학생들이 더 깊은 사색과 성찰의 시간을 갖고 글로벌 시대 자신의 역할을 고민하는 계기가 되기를 바란다 .
1	사회	사회	사회	NOUN	NNG	NNG
2	각	각	각	DET	MM	MM
3	분야에	분야+에	분야+에	NOUN	NNG+JKB	NNG+JKB
4	활약하고	활약하+고	활약하+고	VERB	VV+EC	VV+EC
5	있는	있+는	있+는	AUX	VX+ETM	VX+ETM
6	인사들의	인사들+의	인사들+의	NOUN	NNG+JKG	NNG+JKG
7	살아	살+아	살+아	VERB	VV+EC	VV+EC
8	있는	있+는	있+는	AUX	VX+ETM	VX+ETM
9	강연을	강연+을	강연+을	NOUN	NNG+JKO	NNG+JKO
10	통해	통해	통하+어	VERB	VV_EC	VV+EC
11	학생들이	학생들+이	학생들+이	NOUN	NNG+JKS	NNG+JKS
12	더	더	더	ADV	MAG	MAG
13	깊은	깊+은	깊+은	ADJ	VA+ETM	VA+ETM
14	사색과	사색+과	사색+과	NOUN	NNG+JC	NNG+JC
15	성찰의	성찰+의	성찰+의	NOUN	NNG+JKG	NNG+JKG
16	시간을	시간+을	시간+을	NOUN	NNG+JKO	NNG+JKO
17	갖고	갖+고	갖+고	VERB	VV+EC	VV+EC
18	글로벌	글로벌	글로벌	NOUN	NNG	NNG
19	시대	시대	시대	NOUN	NNG	NNG
20	자신의	자신+의	자신+의	NOUN	NNG+JKG	NNG+JKG
21	역할을	역할+을	역할+을	NOUN	NNG+JKO	NNG+JKO
22	고민하는	고민하+는	고민하+는	VERB	VV+ETM	VV+ETM
23	계기가	계기+가	계기+가	NOUN	NNG+JKC	NNG+JKC
24	되기를	되+기를	되+기+를	VERB	VV+ETN_JKO	VV+ETN+JKO
25	바란다	바란+다	바라+ㄴ다	VERB	VV+EF	VV+EF
26	.	.	.	PUNC	SF	SF

# sent_id = 1173
# file = 00001
# text = 계열사 내부의 효율적인 면을 위해 불가피한 경우도 있겠지만 그런 경우는 여기에 속하지 않는다 .
1	계열사	계열사	계열사	NOUN	NNG	NNG
2	내부의	내부+의	내부+의	NOUN	NNG+JKG	NNG+JKG
3	효율적인	효율적+인	효율적+이+ㄴ	VERB	NNG+VCP_ETM	NNG+VCP+ETM
4	면을	면+을	면+을	NOUN	NNG+JKO	NNG+JKO
5	위해	위해	위하+어	VERB	VV_EC	VV+EC
6	불가피한	불가피한	불가피하+ㄴ	ADJ	VA_ETM	VA+ETM
7	경우도	경우+도	경우+도	NOUN	NNG+JX	NNG+JX
8	있겠지만	있+겠지만	있+겠+지만	ADJ	VA+EP_EC	VA+EP+EC
9	그런	그런	그런	DET	MM	MM
10	경우는	경우+는	경우+는	NOUN	NNG+JX	NNG+JX
11	여기에	여기+에	여기+에	PRON	NP+JKB	NP+JKB
12	속하지	속하+지	속하+지	VERB	VV+EC	VV+EC
13	않는다	않+는다	않+는다	AUX	VX+EF	VX+EF
14	.	.	.	PUNC	SF	SF

# sent_id = 1174
# file = 00001
# text = 총수 일가의 내부 거래 가격을 시장 가격보다 높게 쳐 준다든지 하는 부당한 경우에만 해당한다 .
1	총수	총수	총수	NOUN	NNG	NNG
2	일가의	일가+의	일가+의	NOUN	NNG+JKG	NNG+JKG
3	내부	내부	내부	NOUN	NNG	NNG
4	거래	거래	거래	NOUN	NNG	NNG
5	가격을	가격+을	가격+을	NOUN	NNG+JKO	NNG+JKO
6	시장	시장	시장	NOUN	NNG	NNG
7	가격보다	가격+보다	가격+보다	NOUN	NNG+JKB	NNG+JKB
8	높게	높+게	높+게	ADJ	VA+EC	VA+EC
9	쳐	쳐	치+어	VERB	VV_EC	VV+EC
10	준다든지	준+다든지	주+ㄴ다+든지	AUX	VX+EC_JX	VX+EC+JX
11	하는	하+는	하+는	VERB	VV+ETM	VV+ETM
12	부당한	부당한	부당하+ㄴ	ADJ	VA_ETM	VA+ETM
13	경우에만	경우+에만	경우+에+만	NOUN	NNG+JKB_JX	NNG+JKB+JX
14	해당한다	해당한+다	해당하+ㄴ다	VERB	VV+EF	VV+EF
15	.	.	.	PUNC	SF	SF

# sent_id = 1175
# file = 00001
# text = 지금 서명하지 않았다고 거론되는 그 분들은 수십년 동안 굉장히 재벌친화적인 글을 쓰시고 발언을 하신 분들이기 때문에 서명을 안 할 것은 이미 모두 예상했던 일
1	지금	지금	지금	ADV	MAG	MAG
2	서명하지	서명하+지	서명하+지	VERB	VV+EC	VV+EC
3	않았다고	않+았다고	않+았+다고	AUX	VX+EP_EC	VX+EP+EC
4	거론되는	거론되+는	거론되+는	VERB	VV+ETM	VV+ETM
5	그	그	그	DET	MM	MM
6	분들은	분+들은	분+들+은	NOUN	NNB+XSN_JX	NNB+XSN+JX
7	수십년	수십+년	수십+년	NOUN	NR+NNB	NR+NNB
8	동안	동안	동안	NOUN	NNG	NNG
9	굉장히	굉장히	굉장히	ADV	MAG	MAG
10	재벌친화적인	재벌친화적+인	재벌친화적+이+ㄴ	VERB	NNG+VCP_ETM	NNG+VCP+ETM
11	글을	글+을	글+을	NOUN	NNG+JKO	NNG+JKO
12	쓰시고	쓰+시고	쓰+시+고	VERB	VV+EP_EC	VV+EP+EC
13	발언을	발언+을	발언+을	NOUN	NNG+JKO	NNG+JKO
14	하신	하+신	하+시+ㄴ	VERB	VV+EP_ETM	VV+EP+ETM
15	분들이기	분+들이기	분+들+이+기	VERB	NNB+XSN_VCP_ETN	NNB+XSN+VCP+ETN
16	때문에	때문+에	때문+에	NOUN	NNB+JKB	NNB+JKB
17	서명을	서명+을	서명+을	NOUN	NNG+JKO	NNG+JKO
18	안	안	안	ADV	MAG	MAG
19	할	할	하+ㄹ	VERB	VV_ETM	VV+ETM
20	것은	것+은	것+은	NOUN	NNB+JX	NNB+JX
21	이미	이미	이미	ADV	MAG	MAG
22	모두	모두	모두	ADV	MAG	MAG
23	예상했던	예상했+던	예상하+었+던	VERB	VV+EP_ETM	VV+EP+ETM
24	일	일	일	NOUN	NNG	NNG

# sent_id = 1176
# file = 00001
# text = 자동차를 중심으로 IT , SW , 디자인 각 분야에서 융합 특성화 교육을 통해 청소년의 진로 설계를 돕고 있다 .
1	자동차를	자동차+를	자동차+를	NOUN	NNG+JKO	NNG+JKO
2	중심으로	중심+으로	중심+으로	NOUN	NNG+JKB	NNG+JKB
3	IT	IT	IT	NOUN	SL	SL
4	,	,	,	PUNC	SP	SP
5	SW	SW	SW	NOUN	SL	SL
6	,	,	,	PUNC	SP	SP
7	디자인	디자인	디자인	NOUN	NNG	NNG
8	각	각	각	DET	MM	MM
9	분야에서	분야+에서	분야+에서	NOUN	NNG+JKB	NNG+JKB
10	융합	융합	융합	NOUN	NNG	NNG
11	특성화	특성화	특성화	NOUN	NNG	NNG
12	교육을	교육+을	교육+을	NOUN	NNG+JKO	NNG+JKO
13	통해	통해	통하+어	VERB	VV_EC	VV+EC
14	청소년의	청소년+의	청소년+의	NOUN	NNG+JKG	NNG+JKG
15	진로	진로	진로	NOUN	NNG	NNG
16	설계를	설계+를	설계+를	NOUN	NNG+JKO	NNG+JKO
17	돕고	돕+고	돕+고	VERB	VV+EC	VV+EC
18	있다	있+다	있+다	AUX	VX+EF	VX+EF
19	.	.	.	PUNC	SF	SF

# sent_id = 1177
# file = 00001
# text = 학생들이 양질의 진로체험을 통해 자기주도적인 방법으로 적성과 소질을 찾아 스스로 미래를 설계할 수 있길 기대한다 .
1	학생들이	학생들+이	학생들+이	NOUN	NNG+JKS	NNG+JKS
2	양질의	양질+의	양질+의	NOUN	NNG+JKG	NNG+JKG
3	진로체험을	진로체험+을	진로체험+을	NOUN	NNG+JKO	NNG+JKO
4	통해	통해	통하+어	VERB	VV_EC	VV+EC
5	자기주도적인	자기주도적+인	자기주도적+이+ㄴ	VERB	NNG+VCP_ETM	NNG+VCP+ETM
6	방법으로	방법+으로	방법+으로	NOUN	NNG+JKB	NNG+JKB
7	적성과	적성+과	적성+과	NOUN	NNG+JC	NNG+JC
8	소질을	소질+을	소질+을	NOUN	NNG+JKO	NNG+JKO
9	찾아	찾+아	찾+아	VERB	VV+EC	VV+EC
10	스스로	스스로	스스로	ADV	MAG	MAG
11	미래를	미래+를	미래+를	NOUN	NNG+JKO	NNG+JKO
12	설계할	설계할	설계하+ㄹ	VERB	VV_ETM	VV+ETM
13	수	수	수	NOUN	NNB	NNB
14	있길	있+길	있+기+ㄹ	ADJ	VA+ETN_JKO	VA+ETN+JKO
15	기대한다	기대한+다	기대하+ㄴ다	VERB	VV+EF	VV+EF
16	.	.	.	PUNC	SF	SF

# sent_id = 1178
# file = 00001
# text = 미국이 하반기에 금리를 한 번 더 올리면 금리가 상승할 가능성이 높기 때문에 대출 기간이 3년 이상 넘어가는 장기 자금으로 쓸 때에는 고정금리를 택하는게 유리하다 .
1	미국이	미국+이	미국+이	PROPN	NNP+JKS	NNP+JKS
2	하반기에	하반기+에	하반기+에	NOUN	NNG+JKB	NNG+JKB
3	금리를	금리+를	금리+를	NOUN	NNG+JKO	NNG+JKO
4	한	한	한	DET	MM	MM
5	번	번	번	NOUN	NNB	NNB
6	더	더	더	ADV	MAG	MAG
7	올리면	올리+면	올리+면	VERB	VV+EC	VV+EC
8	금리가	금리+가	금리+가	NOUN	NNG+JKS	NNG+JKS
9	상승할	상승할	상승하+ㄹ	VERB	VV_ETM	VV+ETM
10	가능성이	가능성+이	가능성+이	NOUN	NNG+JKS	NNG+JKS
11	높기	높+기	높+기	ADJ	VA+ETN	VA+ETN
12	때문에	때문+에	때문+에	NOUN	NNB+JKB	NNB+JKB
13	대출	대출	대출	NOUN	NNG	NNG
14	기간이	기간+이	기간+이	NOUN	NNG+JKS	NNG+JKS
15	3년	3+년	3+년	NUM	SN+NNB	SN+NNB
16	이상	이상	이상	NOUN	NNG	NNG
17	넘어가는	넘어가+는	넘어가+는	VERB	VV+ETM	VV+ETM
18	장기	장기	장기	NOUN	NNG	NNG
19	자금으로	자금+으로	자금+으로	NOUN	NNG+JKB	NNG+JKB
